,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State,School Long Name
189,,Poughkeepsie,Pioneer,FCS,,,,,Red Foxes,,1965.0,Marist,,New York,Marist College
190,,Lake Charles,Southland,FCS,,,,,Cowboys,,1950.0,McNeese State,,Louisiana,McNeese State University
191,,Macon,Southern,FCS,,,,,Bears,,18912013.0,Mercer,,Georgia,Mercer University
192,,Itta Bena,SWAC,FCS,,,,,Delta Devils,,1953.0,Mississippi Valley State,,Mississippi,Mississippi Valley State University
193,,Springfield,Missouri Valley,FCS,,,,,Bears,,1909.0,SW Missouri State,,Missouri,Missouri State UniversitySouthwest Missouri State
194,,West Long Branch,Big South,FCS,,,,,Hawks,,1993.0,Monmouth,,New Jersey,Monmouth University
195,,Missoula,Big Sky,FCS,,,,,Grizzlies,,1897.0,Montana,,Montana,University of Montana
196,,Bozeman,Big Sky,FCS,,,,,Bobcats,,1897.0,Montana State,,Montana,Montana State University
197,,Morehead,Pioneer,FCS,,,,,Eagles,,1924.0,Morehead State,,Kentucky,Morehead State University
198,,Baltimore,MEAC,FCS,,,,,Bears,,1897.0,Morgan State,,Maryland,Morgan State University
199,,Murray,Ohio Valley,FCS,,,,,Racers,,1924.0,Murray State,,Kentucky,Murray State University
200,,Durham,CAA,FCS,,,,,Wildcats,,1893.0,New Hampshire,,New Hampshire,University of New Hampshire
201,,Thibodaux,Southland,FCS,,,,,Colonels,,1972.0,Nicholls State,,Louisiana,Nicholls State University
202,,Norfolk,MEAC,FCS,,,,,Spartans,,1938.0,Norfolk State,,Virginia,Norfolk State University
203,,Greensboro,MEAC,FCS,,,,,Aggies,,1901.0,North Carolina A&T,,North Carolina,North Carolina A&T State University
204,,Durham,MEAC,FCS,,,,,Eagles,,1921.0,North Carolina Central,,North Carolina,North Carolina Central University
205,,Grand Forks,Independent[1][2][n 4],FCS,,,,,Fighting Hawks,,1894.0,North Dakota,,North Dakota,University of North Dakota
206,,Fargo,Missouri Valley,FCS,,,,,Bison,,1894.0,North Dakota State,,North Dakota,North Dakota State University
207,,Flagstaff,Big Sky,FCS,,,,,Lumberjacks,,1915.0,Northern Arizona,,Arizona,Northern Arizona University
208,,Greeley,Big Sky,FCS,,,,,Bears,,1892.0,Northern Colorado,,Colorado,University of Northern Colorado
209,,Cedar Falls,Missouri Valley,FCS,,,,,Panthers,,1895.0,Northern Iowa,,Iowa,University of Northern Iowa
210,,Natchitoches,Southland,FCS,,,,,Demons,,1907.0,NW State (LA),,Louisiana,Northwestern State University
211,,Philadelphia,Ivy,FCS,,,,,Quakers,,1876.0,Pennsylvania,,Pennsylvania,University of Pennsylvania
212,,Portland,Big Sky,FCS,,,,,Vikings,,1947.0,Portland State,,Oregon,Portland State University
213,,Prairie View,SWAC,FCS,,,,,Panthers,,1906.0,Prairie View,,Texas,Prairie View A&M University
214,,Clinton,Big South[n 5],FCS,,,,,Blue Hose,,1913.0,Presbyterian,,South Carolina,Presbyterian College
