,Order of Points,Origin_Destination,Path ID,Path Latitude,Path Longitude,Team
0,60.0,Path,Oklahoma_0_1_ARI,34.449709721565114,-106.17435953038485,Oklahoma_ARI

0,61.0,Path,Oklahoma_0_1_ARI,34.43127280483964,-106.32078592684987,Oklahoma_ARI

0,62.0,Path,Oklahoma_0_1_ARI,34.41266144887207,-106.4671474321169,Oklahoma_ARI

0,63.0,Path,Oklahoma_0_1_ARI,34.393875852724044,-106.61344351021073,Oklahoma_ARI

0,64.0,Path,Oklahoma_0_1_ARI,34.37491621706666,-106.75967362785845,Oklahoma_ARI

0,65.0,Path,Oklahoma_0_1_ARI,34.35578274417169,-106.90583725450625,Oklahoma_ARI

0,66.0,Path,Oklahoma_0_1_ARI,34.33647563790281,-107.051933862336,Oklahoma_ARI

0,67.0,Path,Oklahoma_0_1_ARI,34.316995103706596,-107.1979629262812,Oklahoma_ARI

0,68.0,Path,Oklahoma_0_1_ARI,34.297341348603666,-107.34392392404331,Oklahoma_ARI

0,69.0,Path,Oklahoma_0_1_ARI,34.2775145811797,-107.48981633610724,Oklahoma_ARI

0,70.0,Path,Oklahoma_0_1_ARI,34.257515011576345,-107.635639645757,Oklahoma_ARI

0,71.0,Path,Oklahoma_0_1_ARI,34.23734285148222,-107.78139333909093,Oklahoma_ARI

0,72.0,Path,Oklahoma_0_1_ARI,34.21699831412376,-107.9270769050368,Oklahoma_ARI

0,73.0,Path,Oklahoma_0_1_ARI,34.19648161425609,-108.07268983536657,Oklahoma_ARI

0,74.0,Path,Oklahoma_0_1_ARI,34.17579296815384,-108.21823162471084,Oklahoma_ARI

0,75.0,Path,Oklahoma_0_1_ARI,34.15493259360184,-108.36370177057336,Oklahoma_ARI

0,76.0,Path,Oklahoma_0_1_ARI,34.13390070988594,-108.50909977334501,Oklahoma_ARI

0,77.0,Path,Oklahoma_0_1_ARI,34.112697537783646,-108.65442513631753,Oklahoma_ARI

0,78.0,Path,Oklahoma_0_1_ARI,34.09132329955477,-108.79967736569729,Oklahoma_ARI

0,79.0,Path,Oklahoma_0_1_ARI,34.06977821893209,-108.94485597061852,Oklahoma_ARI

0,80.0,Path,Oklahoma_0_1_ARI,34.048062521111895,-109.08996046315646,Oklahoma_ARI

0,81.0,Path,Oklahoma_0_1_ARI,34.02617643274452,-109.23499035834014,Oklahoma_ARI

0,82.0,Path,Oklahoma_0_1_ARI,34.0041201819249,-109.37994517416519,Oklahoma_ARI

0,83.0,Path,Oklahoma_0_1_ARI,33.98189399818302,-109.52482443160595,Oklahoma_ARI

0,84.0,Path,Oklahoma_0_1_ARI,33.95949811247441,-109.66962765462786,Oklahoma_ARI

0,85.0,Path,Oklahoma_0_1_ARI,33.936932757170474,-109.81435437019914,Oklahoma_ARI

0,86.0,Path,Oklahoma_0_1_ARI,33.91419816604898,-109.95900410830261,Oklahoma_ARI

0,87.0,Path,Oklahoma_0_1_ARI,33.89129457428437,-110.10357640194692,Oklahoma_ARI

0,88.0,Path,Oklahoma_0_1_ARI,33.868222218438106,-110.24807078717794,Oklahoma_ARI

0,89.0,Path,Oklahoma_0_1_ARI,33.844981336448924,-110.3924868030894,Oklahoma_ARI

0,90.0,Path,Oklahoma_0_1_ARI,33.8215721676232,-110.53682399183383,Oklahoma_ARI

0,91.0,Path,Oklahoma_0_1_ARI,33.79799495262518,-110.68108189863283,Oklahoma_ARI

0,92.0,Path,Oklahoma_0_1_ARI,33.77424993346714,-110.82526007178728,Oklahoma_ARI

0,93.0,Path,Oklahoma_0_1_ARI,33.75033735349968,-110.96935806268746,Oklahoma_ARI

0,94.0,Path,Oklahoma_0_1_ARI,33.72625745740188,-111.11337542582247,Oklahoma_ARI

0,95.0,Path,Oklahoma_0_1_ARI,33.7020104911714,-111.25731171878996,Oklahoma_ARI

0,96.0,Path,Oklahoma_0_1_ARI,33.677596702114755,-111.40116650230522,Oklahoma_ARI

0,97.0,Path,Oklahoma_0_1_ARI,33.6530163388373,-111.54493934021023,Oklahoma_ARI

0,98.0,Path,Oklahoma_0_1_ARI,33.62826965123339,-111.68862979948237,Oklahoma_ARI

0,99.0,Path,Oklahoma_0_1_ARI,33.6033568904765,-111.83223745024299,Oklahoma_ARI

0,100.0,Path,Oklahoma_0_1_ARI,33.57827830900924,-111.97576186576562,Oklahoma_ARI

0,101.0,Path,Oklahoma_0_1_ARI,33.55303416053339,-112.11920262248402,Oklahoma_ARI

0,102.0,Destination,Oklahoma_0_1_ARI,33.5276247,-112.26255929999999,ARI

1,1.0,Origin,Ohio State_0_2_SF,39.9623,-83.0007,Ohio State

1,2.0,Path,Ohio State_0_2_SF,40.00300667332906,-83.39236604762074,Ohio State_SF

1,3.0,Path,Ohio State_0_2_SF,40.042006094668174,-83.78056833628247,Ohio State_SF

1,4.0,Path,Ohio State_0_2_SF,40.07970858207609,-84.1692075860616,Ohio State_SF

1,5.0,Path,Ohio State_0_2_SF,40.11611096391522,-84.55827003434501,Ohio State_SF

1,6.0,Path,Ohio State_0_2_SF,40.15121016910532,-84.94774177883772,Ohio State_SF

1,7.0,Path,Ohio State_0_2_SF,40.18500322828098,-85.33760878157021,Ohio State_SF

1,8.0,Path,Ohio State_0_2_SF,40.21748727491631,-85.7278568730083,Ohio State_SF

1,9.0,Path,Ohio State_0_2_SF,40.24865954641587,-86.11847175626299,Ohio State_SF

1,10.0,Path,Ohio State_0_2_SF,40.278517385171355,-86.50943901139792,Ohio State_SF

1,11.0,Path,Ohio State_0_2_SF,40.30705823958223,-86.90074409983153,Ohio State_SF

1,12.0,Path,Ohio State_0_2_SF,40.334279665040334,-87.2923723688313,Ohio State_SF

